coursename,teacher,location,duration,startdate,price
Parallel and Distributed Programming,Dr. John Matrix,Online,3 weeks,3/10/2025,199
Quantum Computing for Beginners,Dr. Marie Quark,UBB,4 weeks,4/5/2025,299
The Art of Debugging,Mr. Sherlock Code,Online,2 weeks,2/20/2025,149
Cybersecurity: Hackers vs Defenders,Agent Zero,Online,6 weeks,5/1/2025,349
AI and Machine Learning for Lazy People,Dr. Rob O.T.,AI Research Center,5 weeks,6/10/2025,399
Web Development with Magic,Harry DevPott,Hogwarts Coding Academy,4 weeks,7/1/2025,259
Blockchain & Cryptocurrency 101,Crypto Satoshi,Online,3 weeks,3/15/2025,189
Video Game Design & Development,Miyamoto Sensei,Game Dev Studios,6 weeks,5/20/2025,299
Ethical Hacking: Learn to Hack Legally,Neo Cyber,Matrix Training Center,5 weeks,4/15/2025,349
Robotics & Automation Engineering,Dr. Susan Botson,Robotics Lab,8 weeks,6/1/2025,499
